목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
공산성부추해물칼국수,127.122730512875,36.4644791462223,공주시,웅진동,생활편의,음식점,한식,1,0.35294117647058826
공산성입구,127.123702643839,36.4650068694618,공주시,금성동,여행/레저,관광명소,관광명소기타,0,0.17857142857142858
공산성입구,127.123702643839,36.4650068694618,공주시,금성동,여행/레저,관광명소,관광명소기타,1,1.5294117647058825
공암매운탕어죽,127.263996597949,36.367213280692,공주시,반포면,생활편의,음식점,한식,1,0.17647058823529413
공주경희한방병원,127.149089140825,36.4797275605451,공주시,월송동,의료편의,의료시설,한방병원,0,0.5357142857142857
공주경희한방병원,127.149089140825,36.4797275605451,공주시,월송동,의료편의,의료시설,한방병원,1,0.5882352941176471
공주고등학교야구장,127.1225604,36.4473621,공주시,중학동,여행/레저,레저/스포츠,운동장/체육관,0,0.10714285714285714
공주고등학교야구장,127.1225604,36.4473621,공주시,중학동,여행/레저,레저/스포츠,운동장/체육관,1,0.17647058823529413
공주고마나루,127.10717629324655,36.469978428434224,공주시,웅진동,여행/레저,관광명소,문화유적지,1,0.17647058823529413
공주공산성게스트하우스,127.12275667326162,36.465125129090296,공주시,웅진동,여행/레저,숙박,게스트하우스,0,0.10714285714285714
공주공산성게스트하우스,127.12275667326162,36.465125129090296,공주시,웅진동,여행/레저,숙박,게스트하우스,1,0.35294117647058826
공주공산성미디어아트,127.12538483209414,36.46450617494003,공주시,금성동,여행/레저,관광명소,축제,1,2.058823529411765
공주공산성연지,127.128507782,36.4638403638341,공주시,웅진동,여행/레저,관광명소,문화유적지,0,0.21428571428571427
공주공산성연지,127.128507782,36.4638403638341,공주시,웅진동,여행/레저,관광명소,문화유적지,1,2.588235294117647
공주교육대학교,127.118703273214,36.4443147559923,공주시,봉황동,공공편의,교육기관,대학교,0,15.928571428571429
