목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,festival_period,방문건수
다래원/[한식],127.1128828,36.4590034,공주시,웅진동,생활편의,음식점,한식,0,3
다복수육국밥/공주신관점,127.14160588350234,36.47327141304956,공주시,신관동,생활편의,음식점,한식,1,7
다복수육국밥/공주신관점,127.14160588350234,36.47327141304956,공주시,신관동,생활편의,음식점,한식,2,5
다솜차반소서노/[한식],127.153366639325,36.4683955448612,공주시,월송동,생활편의,음식점,한식,0,3
다솜차반소서노/[한식],127.153366639325,36.4683955448612,공주시,월송동,생활편의,음식점,한식,1,20
다솜차반소서노/[한식],127.153366639325,36.4683955448612,공주시,월송동,생활편의,음식점,한식,2,3
다이소/공주신관점,127.13277325676636,36.47148814216598,공주시,신관동,쇼핑,생활용품,다이소,0,372
다이소/공주신관점,127.13277325676636,36.47148814216598,공주시,신관동,쇼핑,생활용품,다이소,1,387
다이소/공주신관점,127.13277325676636,36.47148814216598,공주시,신관동,쇼핑,생활용품,다이소,2,86
다이소/공주점,127.124591525417,36.4569522378147,공주시,웅진동,쇼핑,생활용품,다이소,0,17
다이소/공주점,127.124591525417,36.4569522378147,공주시,웅진동,쇼핑,생활용품,다이소,1,39
다이소/공주점,127.124591525417,36.4569522378147,공주시,웅진동,쇼핑,생활용품,다이소,2,10
달비채카페,127.157643921248,36.4812274394931,공주시,월송동,생활편의,카페,카페기타,0,3
담양골갈비나라,127.210000797677,36.4339553593106,공주시,반포면,생활편의,음식점,한식,0,3
대광고물상,127.122591656658,36.4622016274261,공주시,웅진동,기업/단체,업종별기업,업종별기업기타,0,3
대구왕뽈때기,127.133785024201,36.4712006661166,공주시,신관동,생활편의,음식점,한식,2,4
대길환경,127.046821094851,36.408957261784,공주시,이인면,기업/단체,업종별기업,업종별기업기타,0,59
대길환경,127.046821094851,36.408957261784,공주시,이인면,기업/단체,업종별기업,업종별기업기타,1,3
대나무집,127.00685100890568,36.57043859934681,공주시,사곡면,생활편의,음식점,한식,1,3
대동/충남지역본부,127.246081216861,36.40126485237,공주시,반포면,기업/단체,산업시설,산업시설기타,2,3
대박칼국수,127.132340725969,36.4692286604243,공주시,신관동,생활편의,음식점,한식,2,3
대백제전/(공주),127.12998399708503,36.46819791904981,공주시,신관동,여행/레저,관광명소,축제,0,11
대백제전/(공주),127.12998399708503,36.46819791904981,공주시,신관동,여행/레저,관광명소,축제,1,7197
대백제전/(공주),127.12998399708503,36.46819791904981,공주시,신관동,여행/레저,관광명소,축제,2,4
대복상회/동학사점,127.25308029839346,36.36300860271207,공주시,반포면,생활편의,음식점,한식,0,9
대복상회/동학사점,127.25308029839346,36.36300860271207,공주시,반포면,생활편의,음식점,한식,1,13
대성농원,127.066986280461,36.3732670014759,공주시,이인면,건물/시설,농/어업,농장/농원,0,3
대신윤활유고압호스,127.1321633,36.4712039,공주시,신관동,기업/단체,업종별기업,전기가스업,0,3
대신택배/공주금성영업소,127.122841633412,36.4623127273192,공주시,웅진동,생활편의,생활서비스,택배,0,19
대신택배/공주금성영업소,127.122841633412,36.4623127273192,공주시,웅진동,생활편의,생활서비스,택배,1,6
대신택배/공주금성영업소,127.122841633412,36.4623127273192,공주시,웅진동,생활편의,생활서비스,택배,2,16
대신택배/세종장군영업소,127.169003991242,36.4845326845587,공주시,월송동,생활편의,생활서비스,택배,0,7
