목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
정방,126.739899046264,36.9795568384341,당진시,송악읍,기업/단체,업종별기업,운수창고업,17
정우공업사,126.776980584127,36.8067435608987,당진시,합덕읍,기업/단체,업종별기업,업종별기업기타,3
정우화인/당진공장,126.766092478741,36.8285743278523,당진시,우강면,기업/단체,업종별기업,화학,4
정은가득,126.63279244333064,36.88483120303968,당진시,당진2동,쇼핑,음식료,음식료기타,11
정철한식뷔페,126.78225607086176,36.94094284974413,당진시,송악읍,생활편의,음식점,한식,3
정태리함흥면옥,126.593717556556,37.000525817627,당진시,석문면,생활편의,음식점,한식,24
정플라잉요가,126.637297906596,36.893760559284,당진시,당진1동,여행/레저,레저/스포츠,요가/명상,3
정해오리,126.539833209834,37.035521487302,당진시,석문면,생활편의,음식점,전문음식점,3
제너스PC/당진송악점,126.698042385071,36.9015377869196,당진시,송악읍,생활편의,생활서비스,PC방,24
제이더블유생명과학,126.766257893806,36.9678916641342,당진시,송악읍,기업/단체,업종별기업,의약품,12
제이모텔,126.629381962057,36.8924551091956,당진시,당진1동,여행/레저,숙박,모텔/여관,42
제이엔케이스크린골프,126.68327319213972,36.9029820903028,당진시,당진3동,여행/레저,레저/스포츠,골프연습장,3
제이엔텍,126.7110014088874,36.97283907878888,당진시,송산면,기업/단체,업종별기업,업종별기업기타,93
제이원테크,126.702570149188,36.8568207253259,당진시,순성면,기업/단체,업종별기업,철강 금속,5
제이카페,126.74199710932038,36.984199591675846,당진시,송악읍,생활편의,카페,카페기타,4
제이케이머티리얼즈,126.706375420833,36.8502659437648,당진시,순성면,기업/단체,업종별기업,화학,3
제이케이머티리얼즈/신평공장,126.8011444341,36.8801797171948,당진시,신평면,기업/단체,업종별기업,제조업,3
제이케이첨단소재,126.77984703485087,36.952367850042336,당진시,송악읍,기업/단체,업종별기업,화학,3
제일라미텍,126.721956935556,36.8980938739761,당진시,신평면,기업/단체,업종별기업,종이 목재,11
제일의원,126.771231074668,36.809548761944,당진시,합덕읍,의료편의,의료시설,의원,1891
제주돈저팔계,126.631215051909,36.9015096348118,당진시,당진1동,생활편의,음식점,전문음식점,8
제주보말칼국수,126.62949370702762,36.89353679812324,당진시,당진1동,생활편의,음식점,한식,18
제주복집,126.767453610247,36.8124095233974,당진시,우강면,생활편의,음식점,전문음식점,3
