is_weekend,목적지명_통합,목적지X좌표,목적지Y좌표,표시용행정구역,방문건수,festival_period,요일
1,윤가네해물탕,126.59637663394092,36.34433450776882,충청남도 보령시,1.0,0,Saturday
1,율가가,126.908945536368,36.285859399292,부여읍,10.0,1,Saturday
1,율두스,127.088874322586,36.195627507147,충청남도 논산시,1.0,2,Saturday
1,은산국수,126.852333421057,36.3092019726927,은산면,3.0,0,Sunday
1,은산대동국수,126.85219220231494,36.30880883553221,은산면,1.0,1,Saturday
1,은산시장,126.85356732249,36.3090989528023,은산면,1.0,1,Sunday
1,은산종합할인마트,126.854839023137,36.3112173201937,은산면,2.0,1,Sunday
1,은진쭈꾸미,127.11368704182485,36.19231171060735,충청남도 논산시,1.0,1,Saturday
1,은파호수공원,126.689894783549,35.9554220721501,전라북도 군산시,2.0,1,Sunday
1,은평뉴타운도서관,126.93310364880053,37.6371970521182,서울특별시 은평구,1.0,1,Sunday
1,은혜의집,126.696604116049,36.1889526056584,옥산면,1.0,1,Saturday
1,을지대학교/성남캠퍼스,127.16513575787296,37.46099595599544,경기도 성남시,1.0,1,Saturday
1,의정부부대찌개거리,127.049573357254,37.7447254723832,경기도 의정부시,1.0,0,Sunday
1,이끌림호텔/아비숑본관,127.139631109781,36.8078928573707,충청남도 천안시,1.0,1,Sunday
1,이도커피/3호점,127.300751028482,36.4724341764973,세종특별자치시,2.0,1,Sunday
1,이디야커피/공주월송동점,127.15284148739,36.4758098503937,충청남도 공주시,1.0,1,Sunday
1,이디야커피/부여규암점,126.887030951207,36.2702221694774,규암면,3.0,1,Sunday
1,이디야커피/부여중앙점,126.910778727008,36.2834707927038,부여읍,5.0,0,Sunday
1,이마트/광명소하점,126.884658230332,37.4466568636717,경기도 광명시,1.0,2,Saturday
1,이마트/군산점,126.73500861752936,35.98284660385269,전라북도 군산시,7.0,0,Saturday
1,이마트/대전터미널점,127.4365771477804,36.34969869974715,대전광역시 동구,1.0,2,Saturday
1,이마트/둔산점,127.378704546411,36.3563404204779,대전광역시 서구,3.0,2,Sunday
1,이마트/목포점,126.425216690206,34.8116126142793,전라남도 목포시,1.0,2,Sunday
1,이마트/보령점,126.58865768476998,36.34398736957243,충청남도 보령시,1.0,0,Saturday
1,이마트/세종점,127.25104718198362,36.47099638527813,세종특별자치시,15.0,1,Sunday
1,이마트/에코시티점,127.1237698887063,35.87241344634771,전라북도 전주시,4.0,1,Saturday
1,이마트/의정부점,127.10223412813964,37.74318604279271,경기도 의정부시,1.0,1,Saturday
1,이마트/전주점,127.120282591176,35.8325869099422,전라북도 전주시,1.0,1,Sunday
1,이마트/천안서북점,127.122202265722,36.8384452103302,충청남도 천안시,1.0,0,Sunday
1,이마트/천안점,127.12699660303583,36.796068212457484,충청남도 천안시,1.0,0,Sunday
1,이마트/충주점,127.923800829651,36.9721797870243,충청북도 충주시,1.0,1,Saturday
1,이마트24/공주탄천산단점,127.06296896227202,36.301840888110114,충청남도 공주시,1.0,0,Sunday
1,이마트24/부여궁남지점,126.910723259774,36.2736663535181,부여읍,3.0,0,Saturday
1,이마트24/부여규암점,126.860727729575,36.2708330651409,규암면,1.0,1,Sunday
1,이마트24/부여성인점,126.890947933034,36.1916200278803,임천면,1.0,1,Saturday
1,이마트24/홍성남당항로점,126.468848528266,36.5541318571386,충청남도 홍성군,1.0,1,Saturday
1,이바돔감자탕/부여점,126.90764660284594,36.27891032363452,부여읍,1.0,1,Saturday
1,이선생도시어장,127.13064407840876,36.77186753367959,충청남도 천안시,1.0,2,Sunday
1,이성당/본점,126.71126336899457,35.987200639723106,전라북도 군산시,3.0,0,Saturday
1,이수기전,126.983431463328,35.94059237387377,전라북도 익산시,1.0,0,Sunday
1,이시스골프/목동지점,126.863390585912,37.5257606796162,서울특별시 양천구,1.0,0,Sunday
1,이안힐링랜드,126.67861609674624,36.34734517983395,충청남도 보령시,1.0,2,Sunday
1,이여로제빵소,127.47535637934796,37.32522928458255,경기도 이천시,1.0,1,Sunday
1,이응다리,127.287081690703,36.4818434935532,세종특별자치시,2.0,1,Sunday
1,이화수전통육개장/충남부여점,126.91451510219495,36.28302269196254,부여읍,1.0,1,Sunday
1,익산병원,126.966499381372,35.9616796866574,전라북도 익산시,1.0,1,Sunday
1,익산보석박물관,127.102618898549,35.9905810091192,전라북도 익산시,2.0,0,Sunday
1,익산서동축제,127.05860050149,36.0005638168533,전라북도 익산시,1.0,0,Sunday
1,인터넷콘도펜션,126.50923600920164,36.318397959531815,충청남도 보령시,1.0,1,Saturday
1,일품대패/나운점,126.6981802144256,35.9625061809643,전라북도 군산시,1.0,1,Saturday
1,임천떡방앗간,126.89156119184,36.1911116697297,임천면,1.0,0,Saturday
1,임천슈퍼,126.892381997515,36.1892595337464,임천면,1.0,1,Sunday
1,자담치킨/논산건양대점,127.107373778089,36.1797502327187,충청남도 논산시,2.0,1,Saturday
1,자담치킨/부여점,126.91075678872204,36.27367359042033,부여읍,1.0,0,Sunday
1,자연드림/세종고운점,127.234488243492,36.5165700383289,세종특별자치시,1.0,0,Sunday
1,자연애마트,126.920194558762,36.2831930991243,부여읍,3.0,1,Saturday
1,자온길,126.888836315867,36.273805104762,규암면,1.0,0,Sunday
1,자온양조장,126.88620525277469,36.27382464896502,규암면,4.0,0,Saturday
1,자운대쇼핑타운,127.33816168383892,36.41348273153775,대전광역시 유성구,2.0,1,Sunday
1,작은농원,126.793499633798,36.4907802227933,충청남도 청양군,2.0,1,Sunday
1,작천계곡,126.864565859813,36.3953800666753,충청남도 청양군,1.0,0,Sunday
1,작천리마을회관,126.858947263008,36.3932395847914,충청남도 청양군,1.0,1,Sunday
