목적지명,목적지X좌표,목적지Y좌표,목적지시군구명,목적지읍면동명,대분류,중분류,소분류,방문건수
시큐리움/휴관중(2023년12월19일개관예정),126.67029169651316,36.0178234471618,서천군,장항읍,생활편의,문화생활시설,박물관/기념관,7
신성리갈대밭,126.862479270207,36.0677728416878,서천군,한산면,여행/레저,관광명소,관광명소기타,1221
신성리갈대밭주차장,126.852785662876,36.0705224764714,서천군,한산면,교통편의,자동차시설,주차장,5
실비식당,126.695800077288,36.0105284494124,서천군,장항읍,생활편의,음식점,음식점기타,16
쌍도하우스,126.59042925380362,36.13078893602933,서천군,비인면,여행/레저,숙박,펜션,12
쌩쌩한의원,126.69330029370418,36.011195027108855,서천군,장항읍,의료편의,의료시설,한의원,3
썬셋펜션,126.662886193331,36.0277207662972,서천군,장항읍,여행/레저,숙박,펜션,3
아드리아모텔,126.52658922844302,36.17212519638217,서천군,서면,여행/레저,숙박,모텔/여관,3
아드리아모텔,126.52660413191086,36.17211684512975,서천군,서면,여행/레저,숙박,모텔/여관,4
아리랜드,126.669774318837,36.046690868889,서천군,마서면,여행/레저,관광명소,체험학습,3
아펜젤러순직기념관,126.500233104459,36.1376518528723,서천군,서면,생활편의,문화생활시설,박물관/기념관,3
안녕이네횟집,126.503593770187,36.1561497638144,서천군,서면,생활편의,음식점,전문음식점,10
얼큰코다리,126.69736445270196,36.0121312415601,서천군,장항읍,생활편의,음식점,전문음식점,3
에덴펜션,126.585781100708,36.1315418851108,서천군,비인면,여행/레저,숙박,펜션,12
에이에스텍/장항공장,126.68179777752216,36.0378088892432,서천군,장항읍,기업/단체,산업시설,공장,17
엘림펜션,126.589114150382,36.1299587495262,서천군,비인면,여행/레저,숙박,펜션,10
영펜션,126.520147830174,36.1590106355028,서천군,서면,여행/레저,숙박,펜션,20
옛날분식,126.694633003256,36.0739934526273,서천군,서천읍,생활편의,음식점,분식,17
오성펜션,126.519870082183,36.1583718179172,서천군,서면,여행/레저,숙박,펜션,6
옥남1리마을회관,126.669968843136,36.0345811351821,서천군,장항읍,기업/단체,사회시설,회관,3
옥북교회,126.688494871774,36.0476353052288,서천군,마서면,생활편의,종교,교회시설,3
용일장,126.690244483161,36.0765764689135,서천군,서천읍,여행/레저,숙박,모텔/여관,3
우가양평해장국/서천점,126.68521094011206,36.08353118343477,서천군,서천읍,생활편의,음식점,한식,3
우라리마을회관,126.668606995429,36.1409856936401,서천군,판교면,기업/단체,사회시설,회관,3
우리식당,126.69595614071773,36.01070513941387,서천군,장항읍,생활편의,음식점,한식,6
우양/본사,126.700049721702,36.007862108168,서천군,장항읍,기업/단체,업종별기업,음식료업,3
우양/서천공장,126.69006301586168,36.03712533565645,서천군,장항읍,기업/단체,업종별기업,음식료업,60
우일수산,126.719159124341,36.0095286869577,서천군,장항읍,기업/단체,업종별기업,음식료업,38
원단팥빵커피,126.73715639522908,36.01903142722247,서천군,마서면,생활편의,카페,카페기타,6
월하성갯벌식당,126.5634384,36.1356809,서천군,서면,생활편의,음식점,한식,3
월하성갯벌체험장,126.561949877861,36.1325971952708,서천군,서면,여행/레저,관광명소,관광명소기타,22
유정식당,126.69699441488808,36.01063955423039,서천군,장항읍,생활편의,음식점,한식,51
육비가,126.695105165606,36.076215424732,서천군,서천읍,생활편의,음식점,한식,6
은곡교회,126.753154740482,36.1772320227218,서천군,문산면,생활편의,종교,교회시설,3
이디야커피/서천점,126.6962684744962,36.07576133884204,서천군,서천읍,생활편의,카페,커피전문점,3
이디야커피/장항점,126.696883310958,36.0109728491111,서천군,장항읍,생활편의,카페,커피전문점,4
일광폴리머/서천공장,126.702937497613,36.1139611739365,서천군,종천면,기업/단체,업종별기업,업종별기업기타,3
일등쟁반짜장짬뽕/[중식],126.72577766326845,36.02448600006234,서천군,마서면,생활편의,음식점,중식,3
일미정,126.72745522240342,36.0025954731213,서천군,장항읍,생활편의,음식점,한식,3
장항글램핑,126.664219429232,36.0251099589211,서천군,장항읍,여행/레저,레저/스포츠,캠프장,6
장항맥문동꽃축제,126.66650399199996,36.015438961547886,서천군,장항읍,여행/레저,관광명소,축제,3
장항문화예술창작공간,126.695772319578,36.0083342540882,서천군,장항읍,생활편의,문화생활시설,문화생활시설기타,11
장항선셋재즈페스티벌,126.69457333096642,36.00728405512146,서천군,장항읍,여행/레저,관광명소,축제,3
장항송림산림욕장,126.666219325732,36.0158610204527,서천군,장항읍,여행/레저,레저/스포츠,산림욕장,3146
장항스카이워크,126.6646891,36.0198296,서천군,장항읍,여행/레저,관광명소,전망대,2284
장항식자재마트,126.69882796079604,36.01291168694479,서천군,장항읍,쇼핑,슈퍼/마트,슈퍼/마트 기타,3
장항오토캠핑장,126.664997141103,36.0247211183264,서천군,장항읍,여행/레저,레저/스포츠,캠프장,98
장항읍보건지소,126.700343681962,36.00997326318952,서천군,장항읍,의료편의,의료시설,보건소/지소,3
장항전통시장,126.69427479066417,36.01609529323167,서천군,장항읍,쇼핑,시장,재래시장,27
장항테니스장,126.702354967648,36.0209439675277,서천군,장항읍,여행/레저,레저/스포츠,테니스,3
장항항,126.685689887357,36.007500962047,서천군,장항읍,교통편의,교통시설,항구,41
정소아의원,126.687883521807,36.0839922797829,서천군,서천읍,의료편의,의료시설,의원,4
제일커피,126.6882033,36.1541068,서천군,판교면,생활편의,카페,카페기타,3
종천농공단지,126.698576756284,36.1161275708565,서천군,종천면,기업/단체,산업시설,농공단지,3
좋은고기정육점,126.687272533344,36.07552101755,서천군,서천읍,쇼핑,음식료,정육점,4
지석리마을회관,126.684494702083,36.1126556683908,서천군,종천면,기업/단체,사회시설,회관,3
진미식당,126.688938413428,36.1543176183442,서천군,판교면,생활편의,음식점,한식,16
징기스칸펜션,126.521814330909,36.161232613372,서천군,서면,여행/레저,숙박,펜션,8
철새나그네길/5코스,126.66299915928468,36.026823433444044,서천군,장항읍,여행/레저,여행/레저기타,여행/레저기타,3
청담솔플러스호텔,126.75396142878,36.029832121658,서천군,화양면,여행/레저,숙박,모텔/여관,15
청담플러스의원,126.687522511372,36.0754932442603,서천군,서천읍,의료편의,의료시설,의원,4
청정해산물,126.5895585482052,36.1308475395934,서천군,비인면,생활편의,음식점,전문음식점,16
청해수산,126.507565615449,36.1591216682654,서천군,서면,생활편의,음식점,전문음식점,15
춘장대나드리캠핑장,126.525314005397,36.163010206999,서천군,서면,여행/레저,레저/스포츠,캠프장,9
춘장대바른펜션,126.525536238775,36.1591217621324,서천군,서면,여행/레저,숙박,민박,3
춘장대솔내음야영장,126.526397209199,36.167176404818,서천군,서면,여행/레저,레저/스포츠,캠프장,344
춘장대오토캠핑장,126.526813883661,36.1615381602803,서천군,서면,여행/레저,레저/스포츠,캠프장,27
춘장대중앙솔밭캠핑장,126.52503624482,36.1639545424353,서천군,서면,여행/레저,레저/스포츠,캠프장,13
춘장대하얀펜션,126.574198736363,36.1391520689886,서천군,서면,여행/레저,숙박,펜션,3
춘장대해수욕장,126.52306419806038,36.16395453211923,서천군,서면,여행/레저,관광명소,해수욕장,2954
춘장대해수욕장야영장,126.525536197023,36.1643711642667,서천군,서면,여행/레저,레저/스포츠,캠프장,10
춘장루/[중식],126.5285718,36.1663068,서천군,서면,생활편의,음식점,중식,6
충남조선소,126.706715815568,36.0055568498295,서천군,장항읍,기업/단체,업종별기업,운수장비,3
충남칼국수,126.69154992123477,36.07675680724879,서천군,서천읍,생활편의,음식점,한식,45
카몬호텔,126.694772404716,36.008778642752,서천군,장항읍,여행/레저,숙박,모텔/여관,26
카페화산,126.668885102412,36.097212897418,서천군,종천면,생활편의,카페,카페기타,25
코츠,126.716464942338,36.0066123372464,서천군,장항읍,기업/단체,업종별기업,비금속 광물,9
큰길휴게실,126.696744434612,36.010945073753,서천군,장항읍,생활편의,음식점,분식,6
큰맘할매순대국/홍원항점,126.50074560597449,36.15575313192584,서천군,서면,생활편의,음식점,한식,3
키즈앤조이,126.595446850622,36.138707787051,서천군,비인면,여행/레저,숙박,펜션,7
탐앤탐스/서천점,126.69102143203207,36.0838276609913,서천군,서천읍,생활편의,카페,커피전문점,3
택시호텔,126.726519655301,36.000501973617,서천군,장항읍,여행/레저,숙박,모텔/여관,7
터줏골해물칼국수,126.728241523685,36.0254435939922,서천군,마서면,생활편의,음식점,한식,4
파리바게뜨/충남서천점,126.6951611549996,36.07602374069289,서천군,서천읍,생활편의,음식점,제과점,3
판교시간이멈춘마을,126.6885416,36.1536157,서천군,판교면,여행/레저,관광명소,관광명소기타,3
판교시장,126.6895934284517,36.154995413579485,서천군,판교면,쇼핑,시장,재래시장,6
퍼시픽글라스/본사,126.68577319149368,36.01022287548293,서천군,장항읍,기업/단체,업종별기업,화학,49
포성대교회,126.600585423337,36.1211542564749,서천군,비인면,생활편의,종교,교회시설,3
